;Sequence name;Start;End;Region Type;Region Length
0;TcDm28c_01;1;9601;Core;9601
1;TcDm28c_01;9602;21601;Disruptive;12000
2;TcDm28c_01;21602;129901;Core;108300
3;TcDm28c_01;129902;157801;Disruptive;27900
4;TcDm28c_01;157802;259201;Core;101400
5;TcDm28c_01;259202;299701;Disruptive;40500
6;TcDm28c_01;299702;514501;Core;214800
7;TcDm28c_01;514502;526801;Disruptive;12300
8;TcDm28c_01;526802;722701;Core;195900
9;TcDm28c_01;722702;867001;Disruptive;144300
10;TcDm28c_01;867002;926101;Core;59100
11;TcDm28c_01;926102;987001;Disruptive;60900
12;TcDm28c_01;987002;1104001;Core;117000
13;TcDm28c_01;1104002;1130701;Disruptive;26700
14;TcDm28c_01;1130702;1386301;Core;255600
15;TcDm28c_01;1386302;1394401;Disruptive;8100
16;TcDm28c_01;1394402;1396801;Core;2400
17;TcDm28c_01;1396802;1445401;Disruptive;48600
18;TcDm28c_01;1445402;1548301;Core;102900
19;TcDm28c_01;1548302;1616101;Disruptive;67800
20;TcDm28c_01;1616102;1646401;Core;30300
21;TcDm28c_01;1646402;1685101;Disruptive;38700
22;TcDm28c_01;1685102;1773001;Core;87900
23;TcDm28c_01;1773002;1812001;Disruptive;39000
24;TcDm28c_01;1812002;1895701;Core;83700
25;TcDm28c_01;1895702;1949401;Disruptive;53700
26;TcDm28c_01;1949402;1981801;Core;32400
27;TcDm28c_01;1981802;2000401;Disruptive;18600
28;TcDm28c_01;2000402;2071501;Core;71100
29;TcDm28c_01;2071502;2081101;Disruptive;9600
30;TcDm28c_01;2081102;2174401;Core;93300
31;TcDm28c_01;2174402;2182201;Disruptive;7800
32;TcDm28c_01;2182202;2273401;Core;91200
33;TcDm28c_01;2273402;2313601;Disruptive;40200
34;TcDm28c_01;2313602;2338201;Core;24600
35;TcDm28c_01;2338202;2360101;Disruptive;21900
36;TcDm28c_01;2360102;2380201;Core;20100
37;TcDm28c_01;2380202;2489701;Disruptive;109500
38;TcDm28c_01;2489702;2492231;Core;2530
39;TcDm28c_02;1;8401;Core;8401
40;TcDm28c_02;8402;93301;Disruptive;84900
41;TcDm28c_02;93302;104101;Core;10800
42;TcDm28c_02;104102;158101;Disruptive;54000
43;TcDm28c_02;158102;358501;Core;200400
44;TcDm28c_02;358502;377401;Disruptive;18900
45;TcDm28c_02;377402;633901;Core;256500
46;TcDm28c_02;633902;636301;Disruptive;2400
47;TcDm28c_02;636302;752401;Core;116100
48;TcDm28c_02;752402;778801;Disruptive;26400
49;TcDm28c_02;778802;896401;Core;117600
50;TcDm28c_02;896402;966901;Disruptive;70500
51;TcDm28c_02;966902;1149301;Core;182400
52;TcDm28c_02;1149302;1163401;Disruptive;14100
53;TcDm28c_02;1163402;1390801;Core;227400
54;TcDm28c_02;1390802;1407001;Disruptive;16200
55;TcDm28c_02;1407002;1509901;Core;102900
56;TcDm28c_02;1509902;1568101;Disruptive;58200
57;TcDm28c_02;1568102;1667401;Core;99300
58;TcDm28c_02;1667402;1731901;Disruptive;64500
59;TcDm28c_02;1731902;1815601;Core;83700
60;TcDm28c_02;1815602;1824901;Disruptive;9300
61;TcDm28c_02;1824902;1838401;Core;13500
62;TcDm28c_02;1838402;1895401;Disruptive;57000
63;TcDm28c_02;1895402;2151424;Core;256023
64;TcDm28c_03;1;207901;Core;207901
65;TcDm28c_03;207902;261901;Disruptive;54000
66;TcDm28c_03;261902;266101;Core;4200
67;TcDm28c_03;266102;377701;Disruptive;111600
68;TcDm28c_03;377702;378301;Core;600
69;TcDm28c_03;378302;1437901;Disruptive;1059600
70;TcDm28c_03;1437902;1449301;Core;11400
71;TcDm28c_03;1449302;1484701;Disruptive;35400
72;TcDm28c_03;1484702;1510201;Core;25500
73;TcDm28c_03;1510202;1799701;Disruptive;289500
74;TcDm28c_03;1799702;1802204;Core;2503
75;TcDm28c_04;1;7801;Core;7801
